id,first_name,last_name,Passport,phone,Job,Territory
1,Flem,Ragot,605-37-7918,285-188-4384,Junior Executive,China
2,Herman,Duddan,269-96-6175,796-982-1005,Pharmacist,China
3,Tiphani,Ciementini,370-22-5151,609-460-3641,Quality Control Specialist,Indonesia
4,Malcolm,Rands,724-63-4885,285-776-8036,Structural Analysis Engineer,China
5,Gearalt,Lamming,261-12-0128,107-481-6777,Geologist II,Indonesia
6,Sauveur,Eustis,460-03-0412,669-199-1109,Computer Systems Analyst III,Cuba
7,Emmie,Tabourel,302-79-9235,441-896-0718,Senior Cost Accountant,Indonesia
8,Loutitia,Tredinnick,661-08-1163,460-321-1213,Data Coordiator,Ethiopia
9,Danna,Gash,868-44-8269,349-157-8348,Health Coach III,Indonesia
10,Tomkin,Lamminam,595-55-1399,938-737-5640,Account Coordinator,Philippines
11,Bellanca,Byneth,890-68-2574,707-732-0670,Data Coordiator,Afghanistan
12,Kori,Lucchi,848-15-3742,707-728-3872,Sales Associate,Malaysia
13,Timothy,Chick,705-48-7112,672-683-5121,Nurse,Kyrgyzstan
14,Johna,Hamman,324-29-4575,879-462-4871,Assistant Professor,Indonesia
15,Elmore,Sango,590-23-9078,700-629-7975,Senior Quality Engineer,Sweden
16,Town,Manuele,578-57-8767,483-335-2096,Food Chemist,Mauritius
17,Bee,Thunderchief,239-33-5338,737-544-6564,Nurse Practicioner,Argentina
18,Shelba,Paullin,660-73-8668,548-523-5165,Programmer II,China
19,Olly,Ceschi,401-72-8766,553-160-5603,VP Sales,Philippines
20,Kearney,Waple,553-78-5550,306-324-2074,Tax Accountant,Japan
21,Glory,Brownsmith,753-31-6162,714-538-3535,Accounting Assistant III,Indonesia
22,Uriel,Woolis,571-98-0675,323-349-7826,Automation Specialist IV,Peru
23,Kordula,Schmuhl,706-49-1749,721-797-5168,Electrical Engineer,Marshall Islands
24,Klaus,Piddick,565-39-7002,421-509-8686,Human Resources Assistant III,Indonesia
25,Hardy,Crumby,385-15-9809,926-218-4480,Occupational Therapist,Portugal
26,Zachary,Worstall,849-61-6609,551-590-8940,Design Engineer,Brazil
27,Erastus,Kubek,311-71-2478,535-847-0686,Chief Design Engineer,Indonesia
28,Jan,Ingraham,188-39-4483,151-620-2530,Accounting Assistant I,Kazakhstan
29,Marcille,Lemoir,661-78-1502,140-273-0979,Registered Nurse,China
30,Roderigo,Lewnden,387-01-0840,520-838-6044,Software Consultant,Malta
31,Creigh,Tolley,273-08-2175,116-306-6426,Media Manager II,Indonesia
32,Yolanthe,Beedell,418-19-2215,480-252-0859,Senior Cost Accountant,France
33,Mordy,Wyatt,497-93-0959,100-117-0880,Computer Systems Analyst IV,Indonesia
34,Lowell,Grishkov,110-95-5465,116-696-8098,Dental Hygienist,China
